Бывалый	Достигнуть 10 уровня
Опытный	Достигнуть 25 уровня
Ветеран	Достигнуть 50 уровня
Легенда	Достигнуть 100 уровня
Боец	Победить в 25 сражениях
Солдат	Победить в 50 сражениях
Воин	Победить в 100 сражениях
Генерал	Победить в 250 сражениях
Карающая длань	Победить в 500 сражениях
Зажиточный	Собрать 10000 монет
Жадный	Собрать 100000 монет
Мастер монеты	Сробрать 1000000 монет
Умелец	Починить 10 предметов
Искусник	Починить 50 предметов
Ремесленник	Починить 100 предметов
Собиратель	Собрать 10 предметов
Антиквар	Собрать 50 предметов
Колликционер	Собрать 100 предметов
Плут	Соберите 10 комбинаций 4 в ряд
Сочетатель	Соберите 100 комбинаций 4 в ряд
Трюкач	Соберите 1000 комбинаций 4 в ряд
Эксперементатор	Соберите 10 комбинаций 5 в ряд
Комбинатор	Соберите 100 комбинаций 5 в ряд
Махинатор	Соберите 1000 комбинаций 5 в ряд
Непруха	Проиграйте 1 раз
Невезунчик	Проиграйте 25 раз
Аутсайдер	Проиграйте 100 раз
Практичный	Пройдите один уровень на 5 звезд
Везунчик	Пройдите 10 уровней на 5 звезд
Баловень судьбы	Пройдите 50 уровней на 5 звезд
Болевой прием	Нанесите 100 урона
Подрезатель	Нанесите 500 урона
Палач	Нанесите 1000 урона
Разрушитель	Нанесите 5000 урона
Мастер боли	Нанесите 10000 урона
Торговец	Потратить 500 монет
Транжира	Потратить 10000 монет
Расточитель	Потратить 100000 монет
